subaward_amount,subaward_action_date_fiscal_year,subawardee_name,subawardee_business_types,subaward_description_list
1942520,2019,"DUCOMMUN LABARGE TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",CostPlusFixedFee
1935479,2017,"AEROJET ROCKETDYNE, INC.","For-Profit Organization,Manufacturer of Goods",CostPlusFixedFee
1935479,2017,"AEROJET ROCKETDYNE, INC.","For-Profit Organization,Manufacturer of Goods",CostPlusFixedFee
1919219,2017,ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY,"Contracts and Grants,For-Profit Organization,Manufacturer of Goods",CostPlusFixedFee
1511333,2017,"TRI MODELS, INC.","Contracts and Grants,For-Profit Organization,Manufacturer of Goods",CostPlusFixedFee
1331612,2019,PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC,"For-Profit Organization,Limited Liability Company,Manufacturer of Goods",CostPlusFixedFee
1147265,2019,PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC,"For-Profit Organization,Limited Liability Company,Manufacturer of Goods",NRE-Other
1147265,2019,PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC,"For-Profit Organization,Limited Liability Company,Manufacturer of Goods",NRE-Other
932473,2019,PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC,"For-Profit Organization,Limited Liability Company,Manufacturer of Goods",NRE-Other
932473,2019,PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC,"For-Profit Organization,Limited Liability Company,Manufacturer of Goods",FirmFixedPrice
928445,2018,"L3 TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",IronBatteries
926271,2017,"TRI MODELS, INC.","For-Profit Organization,Manufacturer of Goods",IronBatteries
926271,2017,"TRI MODELS, INC.","For-Profit Organization,Manufacturer of Goods",NRE-Other
924640,2019,"DUCOMMUN LABARGE TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",NRE-Other
900319,2019,PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC,"For-Profit Organization,Limited Liability Company,Manufacturer of Goods",NRE-Other
893366,2019,"L3 TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",NRE-Other
893366,2019,"L3 TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",CostPlusFixedFee
891828,2019,PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC,"For-Profit Organization,Limited Liability Company,Manufacturer of Goods",CostPlusFixedFee
853476,2018,TELETRONICS TECHNOLOGY CORPORATION,"For-Profit Organization,Manufacturer of Goods",NRE-Other
784267,2018,"DYNETICS TECHNICAL SOLUTIONS, INC.","For-Profit Organization,Manufacturer of Goods",CostPlusFixedFee
784267,2018,"DYNETICS TECHNICAL SOLUTIONS, INC.","For-Profit Organization,Manufacturer of Goods",ExplosiveCutDevice
754666,2017,"TRI MODELS, INC.","Contracts and Grants,For-Profit Organization,Manufacturer of Goods",NRE-Engineering
712889,2017,ORBITAL SCIENCES CORPORATION,For-Profit Organization,NRE-Other
697020,2018,TELETRONICS TECHNOLOGY CORPORATION,"For-Profit Organization,Manufacturer of Goods",ExplosiveCutDevice
697020,2018,TELETRONICS TECHNOLOGY CORPORATION,"For-Profit Organization,Manufacturer of Goods",NRE-Engineering
673672,2017,"MICRO CRAFT, INC.","For-Profit Organization,S Corporation",NRE-Other
673672,2017,"MICRO CRAFT, INC.","For-Profit Organization,S Corporation",FirmFixedPrice
638100,2018,"UNI-CAST, INC.","For-Profit Organization,Manufacturer of Goods",FirmFixedPrice
620396,2017,PARKER-HANNIFIN CORPORATION,"For-Profit Organization,Manufacturer of Goods",CostPlusFixedFee
584200,2018,"UNI-CAST, INC.","For-Profit Organization,Manufacturer of Goods",GenStructuralAssys
584200,2018,"UNI-CAST, INC.","For-Profit Organization,Manufacturer of Goods",NRE-Other
509049,2018,"JANSEN'S AIRCRAFT SYSTEMS CONTROLS, INC.","For-Profit Organization,Manufacturer of Goods,Self-Certified Small Disadvantaged Business,Woman-Owned Business",Valves
509049,2018,"JANSEN'S AIRCRAFT SYSTEMS CONTROLS, INC.","For-Profit Organization,Manufacturer of Goods,Self-Certified Small Disadvantaged Business,Woman-Owned Business",GenStructuralAssys
504312,2019,"DUCOMMUN LABARGE TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",NRE-Other
5.00E+05,2016,ALLIANT TECHSYSTEMS OPERATIONS LLC,"Contracts and Grants,For-Profit Organization,Manufacturer of Goods",Valves
499468,2017,"MICRO CRAFT, INC.","For-Profit Organization,S Corporation",FirmFixedPrice
494312,2019,"DUCOMMUN LABARGE TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",FirmFixedPrice
486590,2017,ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY,"Contracts and Grants,For-Profit Organization,Manufacturer of Goods",CostPlusFixedFee
461160,2017,PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC,"For-Profit Organization,Limited Liability Company,Manufacturer of Goods",NRE-Other
454938,2018,"L3 TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",NRE-Other
451140,2017,PARKER-HANNIFIN CORPORATION,"For-Profit Organization,Manufacturer of Goods",ExplosiveCutDevice
439350,2018,"UNI-CAST, INC.","For-Profit Organization,Manufacturer of Goods",ExplosiveCutDevice
439350,2018,"UNI-CAST, LLC","For-Profit Organization,Limited Liability Company",FirmFixedPrice
434734,2019,PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC,"For-Profit Organization,Limited Liability Company,Manufacturer of Goods",CostPlusFixedFee
426576,2018,TELETRONICS TECHNOLOGY CORPORATION,"For-Profit Organization,Manufacturer of Goods",MetalShp'gContainr
418147,2017,"TRI MODELS, INC.","For-Profit Organization,Manufacturer of Goods",MetalShp'gContainr
409848,2018,TELETRONICS TECHNOLOGY CORPORATION,"For-Profit Organization,Manufacturer of Goods",FirmFixedPrice
405000,2017,"DESIGNLINX HARDWARE SOLUTIONS, LLC","Contracts and Grants,For-Profit Organization,Limited Liability Company,Veteran Owned Business",NRE-Other
403204,2017,"DESIGNLINX HARDWARE SOLUTIONS, INC.","For-Profit Organization,S Corporation",CostPlusFixedFee
403204,2017,"DESIGNLINX HARDWARE SOLUTIONS, INC.","For-Profit Organization,S Corporation",NRE-Other
401171,2017,PARKER-HANNIFIN CORPORATION,"For-Profit Organization,Manufacturer of Goods",FirmFixedPrice
398019,2018,"PCC STRUCTURALS, INC.","Contracts,For-Profit Organization,Manufacturer of Goods",TestEquipment
398019,2018,"PCC STRUCTURALS, INC.","Contracts,For-Profit Organization,Manufacturer of Goods",TestEquipment
377000,2018,"UNI-CAST, INC.","For-Profit Organization,Manufacturer of Goods",Services:Nonproduct
356444,2017,ORBITAL SCIENCES CORPORATION,For-Profit Organization,Services:Nonproduct
356100,2018,"UNI-CAST, INC.","For-Profit Organization,Manufacturer of Goods",MachineShopWork
352687,2020,PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC,"For-Profit Organization,Limited Liability Company,Manufacturer of Goods",MachineShopWork
352687,2020,PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC,"For-Profit Organization,Limited Liability Company,Manufacturer of Goods",GenStructuralAssys
350664,2018,"HERLEY INDUSTRIES, INC.","For-Profit Organization,Foreign Owned and Located,Manufacturer of Goods",Non-complexMachined
338484,2017,"MICRO CRAFT, INC.","For-Profit Organization,S Corporation",GenStructuralAssys
338484,2017,"MICRO CRAFT, INC.","For-Profit Organization,S Corporation",Non-complexMachined
323145,2017,ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY,"Contracts and Grants,For-Profit Organization,Manufacturer of Goods",FirmFixedPrice
321964,2018,"PCC STRUCTURALS, INC.","Contracts,For-Profit Organization,Manufacturer of Goods",Bolts
314154,2019,"DYNETICS TECHNICAL SOLUTIONS, INC.","For-Profit Organization,Manufacturer of Goods,S Corporation",Launchers&Cannisters
297852,2018,"ARCH GLOBAL PRECISION - HUNTINGDON VALLEY, LLC","For-Profit Organization,Limited Liability Company,Manufacturer of Goods",Bolts
297852,2018,"ARCH GLOBAL PRECISION - HUNTINGDON VALLEY, LLC","For-Profit Organization,Limited Liability Company,Manufacturer of Goods",Launchers&Cannisters
292100,2018,"UNI-CAST, INC.","For-Profit Organization,Manufacturer of Goods",FinsWings&Boattails
286176,2018,"DYNETICS TECHNICAL SOLUTIONS, INC.","For-Profit Organization,Manufacturer of Goods",FinsWings&Boattails
286176,2018,"DYNETICS TECHNICAL SOLUTIONS, INC.","For-Profit Organization,Manufacturer of Goods",FirmFixedPrice
282200,2018,"MARVIN ENGINEERING CO., INC.","For-Profit Organization,Manufacturer of Goods,S Corporation",GenStructuralAssys
265477,2017,"MICRO CRAFT, INC.","For-Profit Organization,S Corporation",NRE-Engineering
230976,2018,"MORGAN ADVANCED CERAMICS, INC","For-Profit Organization,Manufacturer of Goods",GenStructuralAssys
230580,2017,PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC,"For-Profit Organization,Limited Liability Company,Manufacturer of Goods",NRE-Engineering
230580,2017,PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC,"For-Profit Organization,Limited Liability Company,Manufacturer of Goods",GenStructuralAssys
230580,2017,PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC,"For-Profit Organization,Limited Liability Company,Manufacturer of Goods",GenStructuralAssys
229838,2017,ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY,"Contracts and Grants,For-Profit Organization,Manufacturer of Goods",GenStructuralAssys
225291,2018,"JANSEN'S AIRCRAFT SYSTEMS CONTROLS, INC.","For-Profit Organization,Manufacturer of Goods,Self-Certified Small Disadvantaged Business,Woman-Owned Business",NRE-Engineering
209036,2018,"HERLEY INDUSTRIES, INC.","For-Profit Organization,Foreign Owned and Located,Manufacturer of Goods",GenStructuralAssys
209036,2018,"HERLEY INDUSTRIES, INC.","For-Profit Organization,Foreign Owned and Located,Manufacturer of Goods",NRE-Engineering
209036,2018,"HERLEY INDUSTRIES, INC.","For-Profit Organization,Foreign Owned and Located,Manufacturer of Goods",FirmFixedPrice
203064,2018,"EAGLEPICHER TECHNOLOGIES, LLC","For-Profit Organization,Limited Liability Company,Manufacturer of Goods",FirmFixedPrice
199862,2020,ALLIANT TECHSYSTEMS OPERATIONS LLC,"For-Profit Organization,Manufacturer of Goods",TestEquipment
198546,2020,"CAID INDUSTRIES, INC","For-Profit Organization,Foreign Owned and Located,Manufacturer of Goods",FirmFixedPrice
198546,2020,"CAID INDUSTRIES, INC","For-Profit Organization,Foreign Owned and Located,Manufacturer of Goods",TestEquipment
197547,2020,ALLIANT TECHSYSTEMS OPERATIONS LLC,"For-Profit Organization,Manufacturer of Goods",Non-complexShtMetal
197472,2020,ALLIANT TECHSYSTEMS OPERATIONS LLC,"For-Profit Organization,Manufacturer of Goods",Non-complexShtMetal
194073,2018,PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC,"For-Profit Organization,Limited Liability Company,Manufacturer of Goods",FirmFixedPrice
193949,2019,PORT ELECTRONICS CORPORATION,"Economically Disadvantaged Women-Owned Small Business,For-Profit Organization,Minority-Owned business,Native American Owned,SBA Certified Hub Zone Firm,Self-Certified Small Disadvantaged Business,Service Disabled Veteran Owned,Veteran Owned Business,Woman-Owned Business",Clamps
193949,2019,PORT ELECTRONICS CORPORATION,"Economically Disadvantaged Women-Owned Small Business,For-Profit Organization,Minority-Owned business,Native American Owned,SBA Certified Hub Zone Firm,Self-Certified Small Disadvantaged Business,Service Disabled Veteran Owned,Veteran Owned Business,Woman-Owned Business",Washers
192480,2018,"MEASUREMENT SPECIALTIES, INC.","For-Profit Organization,Foreign Owned and Located,Manufacturer of Goods",Clamps
192480,2018,"MEASUREMENT SPECIALTIES, INC.","For-Profit Organization,Foreign Owned and Located,Manufacturer of Goods",Washers
191588,2018,"MORGAN ADVANCED CERAMICS, INC","For-Profit Organization,Manufacturer of Goods",MachineShopWork
191588,2018,"MORGAN ADVANCED CERAMICS, INC","For-Profit Organization,Manufacturer of Goods",MachineShopWork
189839,2019,"DUCOMMUN LABARGE TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",FirmFixedPrice
188342,2018,"EAGLEPICHER TECHNOLOGIES, LLC","For-Profit Organization,Limited Liability Company,Manufacturer of Goods",WireCable
188342,2018,"EAGLEPICHER TECHNOLOGIES, LLC","For-Profit Organization,Limited Liability Company,Manufacturer of Goods",WireCable
186300,2018,"MARVIN ENGINEERING CO., INC.","For-Profit Organization,Manufacturer of Goods,S Corporation",FirmFixedPrice
180147,2018,"DYNETICS TECHNICAL SOLUTIONS, INC.",For-Profit Organization,FirmFixedPrice
178652,2018,"SPARTRONICS LOGAN, LLC","For-Profit Organization,S Corporation",Clamps
178652,2018,"INOVAR, INC.","For-Profit Organization,S Corporation",Non-complexMachined
178652,2018,"INOVAR, INC.","For-Profit Organization,S Corporation",Protect&DustCovers
175330,2018,"MARVIN ENGINEERING CO., INC.","For-Profit Organization,Manufacturer of Goods,S Corporation",Clamps
175330,2018,"MARVIN ENGINEERING CO., INC.","For-Profit Organization,Manufacturer of Goods,S Corporation",Non-complexMachined
172884,2018,"KEYSIGHT TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",Protect&DustCovers
172884,2018,"KEYSIGHT TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",Non-complexMachined
171101,2019,PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC,"For-Profit Organization,Limited Liability Company,Manufacturer of Goods",Non-complexMachined
170519,2018,"KEYSIGHT TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",FirmFixedPrice
170519,2018,"KEYSIGHT TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",TestEquipment
170519,2018,"KEYSIGHT TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",TestEquipment
170519,2018,"KEYSIGHT TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",FirmFixedPrice
168218,2019,PORT ELECTRONICS CORP.,"Economically Disadvantaged Women-Owned Small Business,For-Profit Organization,Minority-Owned business,Native American Owned,Self-Certified Small Disadvantaged Business,Service Disabled Veteran Owned,Veteran Owned Business,Woman-Owned Business",Detonator&Initiator
165370,2019,PORT ELECTRONICS CORPORATION,"Economically Disadvantaged Women-Owned Small Business,For-Profit Organization,Minority-Owned business,Native American Owned,SBA Certified Hub Zone Firm,Self-Certified Small Disadvantaged Business,Service Disabled Veteran Owned,Veteran Owned Business,Woman-Owned Business",NRE-Engineering
162517,2019,SPACE VECTOR CORPORATION,"For-Profit Organization,Manufacturer of Goods",NRE-Other
161022,2019,SPACE VECTOR CORPORATION,"For-Profit Organization,Manufacturer of Goods",NRE-Qualification
161022,2019,SPACE VECTOR CORPORATION,"For-Profit Organization,Manufacturer of Goods",S&ADevices
158935,2020,"GRAY'S ENGINEERING & CONSULTING, INC.",For-Profit Organization,Detonator&Initiator
157776,2019,PORT ELECTRONICS CORPORATION,"Economically Disadvantaged Women-Owned Small Business,For-Profit Organization,Minority-Owned business,Native American Owned,SBA Certified Hub Zone Firm,Self-Certified Small Disadvantaged Business,Service Disabled Veteran Owned,Veteran Owned Business,Woman-Owned Business",NRE-Engineering
154168,2021,CORVID TECHNOLOGIES LLC,"For-Profit Organization,Limited Liability Company",NRE-Other
154168,2021,CORVID TECHNOLOGIES LLC,"For-Profit Organization,Limited Liability Company",NRE-Qualification
152392,2019,"EAGLEPICHER TECHNOLOGIES, LLC","For-Profit Organization,Limited Liability Company,Manufacturer of Goods",S&ADevices
152392,2019,"EAGLEPICHER TECHNOLOGIES, LLC","For-Profit Organization,Limited Liability Company,Manufacturer of Goods",FirmFixedPrice
152392,2019,"EAGLEPICHER TECHNOLOGIES, LLC","For-Profit Organization,Limited Liability Company,Manufacturer of Goods",FirmFixedPrice
150880,2018,ALLCOMP INC.,"Asian-Pacific American Owned,For-Profit Organization,Manufacturer of Goods,Minority-Owned business,Self-Certified Small Disadvantaged Business",FirmFixedPrice
149223,2019,DYTRAN INSTRUMENTS INC.,"For-Profit Organization,Manufacturer of Goods,S Corporation",FirmFixedPrice
149223,2019,DYTRAN INSTRUMENTS INC.,"For-Profit Organization,Manufacturer of Goods,S Corporation",FirmFixedPrice
146203,2018,"DYNETICS TECHNICAL SOLUTIONS, INC.",For-Profit Organization,NRE-Other
145786,2019,"JANSEN'S AIRCRAFT SYSTEMS CONTROLS, INC.","For-Profit Organization,Manufacturer of Goods,Self-Certified Small Disadvantaged Business,Woman-Owned Business",NRE-Other
144600,2017,ADVANCED THERMAL BATTERIES INC.,"For-Profit Organization,Foreign Owned and Located,Manufacturer of Goods",CostPlusFixedFee
143820,2018,"MEASUREMENT SPECIALTIES, INC.","For-Profit Organization,Manufacturer of Goods",FinsWings&Boattails
143374,2018,"COORSTEK, INC.","For-Profit Organization,Manufacturer of Goods,S Corporation",NRE-Other
143374,2019,"COORSTEK, INC.","For-Profit Organization,Manufacturer of Goods,S Corporation",PyrotechnicFuses
140000,2020,"GRAY'S ENGINEERING & CONSULTING, LLC",For-Profit Organization,RocketMotors
136770,2017,ADVANCED THERMAL BATTERIES INC.,"For-Profit Organization,Foreign Owned and Located,Manufacturer of Goods",FinsWings&Boattails
136770,2017,ADVANCED THERMAL BATTERIES INC.,"For-Profit Organization,Foreign Owned and Located,Manufacturer of Goods",NRE-Other
133920,2018,"KIRSH MANUFACTURING, INC.","Contracts,For-Profit Organization,Manufacturer of Goods,Minority-Owned business,Other than one of the preceding,S Corporation",PyrotechnicFuses
133920,2018,"KIRSH MANUFACTURING, INC.","For-Profit Organization,Manufacturer of Goods,S Corporation",RocketMotors
133920,2018,"KIRSH MANUFACTURING, INC.","For-Profit Organization,Manufacturer of Goods,S Corporation",AlarmBuzzerSensor
132320,2018,ALLCOMP INC.,"Asian-Pacific American Owned,For-Profit Organization,Manufacturer of Goods,Minority-Owned business,Self-Certified Small Disadvantaged Business",EnvTestEq(Shock/etc)
126989,2020,"AEROSPEC, INC.","For-Profit Organization,Manufacturer of Goods,Service Disabled Veteran Owned,Veteran Owned Business",AlarmBuzzerSensor
126989,2020,"AEROSPEC, INC.","For-Profit Organization,Manufacturer of Goods,Service Disabled Veteran Owned,Veteran Owned Business",EnvTestEq(Shock/etc)
126000,2018,"MEASUREMENT SPECIALTIES, INC.","For-Profit Organization,Manufacturer of Goods",FirmFixedPrice
126000,2018,"MEASUREMENT SPECIALTIES, INC.","For-Profit Organization,Foreign Owned and Located,Manufacturer of Goods",FirmFixedPrice
126000,2018,"MEASUREMENT SPECIALTIES, INC.","For-Profit Organization,Foreign Owned and Located,Manufacturer of Goods",MeasuringDevices
123952,2017,"DYNETICS, INC.",For-Profit Organization,MeasuringDevices
121018,2018,"DYNETICS TECHNICAL SOLUTIONS, INC.","For-Profit Organization,Manufacturer of Goods",MeasuringDevices
121018,2018,"DYNETICS TECHNICAL SOLUTIONS, INC.","For-Profit Organization,Manufacturer of Goods",MeasuringDevices
120450,2019,"MEASUREMENT SPECIALTIES, INC.","For-Profit Organization,Foreign Owned and Located,Manufacturer of Goods",FirmFixedPrice
120450,2019,"MEASUREMENT SPECIALTIES, INC.","For-Profit Organization,Foreign Owned and Located,Manufacturer of Goods",FirmFixedPrice
119900,2018,ATK SPACE SYSTEMS INC.,For-Profit Organization,CableAssembliesRF
119700,2017,PARKER-HANNIFIN CORPORATION,"For-Profit Organization,Manufacturer of Goods",CableAssy&HarnMulti
118490,2018,"MARVIN ENGINEERING CO., INC.","For-Profit Organization,Manufacturer of Goods,S Corporation",NRE-Other
118490,2018,"MARVIN ENGINEERING CO., INC.","For-Profit Organization,Manufacturer of Goods,S Corporation",CableAssembliesRF
118490,2018,"MARVIN ENGINEERING CO., INC.","For-Profit Organization,Manufacturer of Goods,S Corporation",CableAssy&HarnMulti
115000,2020,"HI-TECH MACHINING & ENGINEERING, L.L.C.","For-Profit Organization,Limited Liability Company,Manufacturer of Goods,SBA Certified Hub Zone Firm",NRE-Other
115000,2020,"HI-TECH MACHINING & ENGINEERING, L.L.C.","For-Profit Organization,Limited Liability Company,Manufacturer of Goods,SBA Certified Hub Zone Firm",FirmFixedPrice
114317,2018,"DUCOMMUN LABARGE TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",FirmFixedPrice
114284,2019,"CAMI RESEARCH, INC.","For-Profit Organization,Manufacturer of Goods",IronBatteries
110200,2018,"UNI-CAST, INC.","For-Profit Organization,Manufacturer of Goods",IronBatteries
106203,2017,"TRI MODELS, INC.","For-Profit Organization,Manufacturer of Goods",IronBatteries
106203,2017,"TRI MODELS, INC.","For-Profit Organization,Manufacturer of Goods",NRE-Other
105891,2018,"SOUTHERN GEAR & MACHINE, INC.","For-Profit Organization,Veteran Owned Business",FirmFixedPrice
105102,2018,STANLEY MACHINING & TOOL CORP.,"For-Profit Organization,Manufacturer of Goods,Woman-Owned Business",IronBatteries
104537,2018,"TRI MODELS, INC.","For-Profit Organization,Manufacturer of Goods",NRE-Other
101690,2018,"RADIUS AEROSPACE, INC.","For-Profit Organization,Manufacturer of Goods",IronBatteries
101690,2018,"RADIUS AEROSPACE, INC.","For-Profit Organization,Manufacturer of Goods",CableAssy&HarnMulti
101361,2018,"KLUNE INDUSTRIES, INC.","For-Profit Organization,Manufacturer of Goods",NRE-Other
101361,2018,"KLUNE INDUSTRIES, INC.","For-Profit Organization,Manufacturer of Goods",CableAssy&HarnMulti
100232,2018,"SOUTHERN GEAR & MACHINE, INC.","For-Profit Organization,Manufacturer of Goods,Veteran Owned Business",NRE-Other
100232,2018,"SOUTHERN GEAR & MACHINE, INC.","For-Profit Organization,Veteran Owned Business",CableAssy&HarnMulti
99925,2020,ALLIANT TECHSYSTEMS OPERATIONS LLC,"For-Profit Organization,Manufacturer of Goods",NRE-Other
98702,2017,PARKER-HANNIFIN CORPORATION,"For-Profit Organization,Manufacturer of Goods",CableAssy&HarnMulti
98553,2020,ALLIANT TECHSYSTEMS OPERATIONS LLC,"For-Profit Organization,Manufacturer of Goods",NRE-Other
95958,2018,"KLUNE INDUSTRIES, INC.",For-Profit Organization,FirmFixedPrice
92820,2018,A. P. I. INCORPORATED,"For-Profit Organization,S Corporation,Veteran Owned Business",FirmFixedPrice
91925,2020,ALLIANT TECHSYSTEMS OPERATIONS LLC,"For-Profit Organization,Manufacturer of Goods",NRE-Other
91214,2018,"HI-TECH MACHINING & ENGINEERING, L.L.C.","For-Profit Organization,Limited Liability Company,Manufacturer of Goods,SBA Certified Hub Zone Firm",Protect&DustCovers
91214,2018,"HI-TECH MACHINING & ENGINEERING, L.L.C.","For-Profit Organization,Limited Liability Company,Manufacturer of Goods,SBA Certified Hub Zone Firm",RectanglarConnector
90817,2018,"AZMARK AERO SYSTEMS, LLC","For-Profit Organization,Limited Liability Company",S&ADevices
90817,2018,"AZMARK AERO SYSTEMS, LLC","For-Profit Organization,Limited Liability Company",NRE-Other
88913,2019,"DUCOMMUN LABARGE TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",Protect&DustCovers
88813,2019,"DUCOMMUN LABARGE TECHNOLOGIES, INC.","For-Profit Organization,Manufacturer of Goods",RectanglarConnector
88813,2019,"LABARGE ACQUISITION COMPANY, INC.","For-Profit Organization,Manufacturer of Goods",S&ADevices
88682,2018,ATK SPACE SYSTEMS INC.,For-Profit Organization,CableAssy&HarnMulti
88682,2018,ATK SPACE SYSTEMS INC.,For-Profit Organization,NRE-Other
88682,2018,ATK SPACE SYSTEMS INC.,For-Profit Organization,CableAssy&HarnMulti
87585,2018,STANLEY MACHINING & TOOL CORP.,"For-Profit Organization,Manufacturer of Goods,Woman-Owned Business",CableAssy&HarnMulti
